Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,POS,PITCH,MLB,NL,MLB/NL
Dizzy Dean,1953,12,1930,1947,4,43.91,150,83,0.644,3.02,317,230,77,154,26,31,1967.1,1919,774,661,95,453,47,1163,27,5,12,8171,0,1,1,0,0
Jack Morris,2018,18,1977,1994,5,43.61,254,186,0.577,3.9,549,527,10,175,28,0,3824,3567,1815,1657,389,1390,99,2478,58,27,206,16120,0,1,1,0,0
Lefty Gomez,1972,14,1930,1943,7,43.21,189,102,0.649,3.34,368,320,31,173,28,10,2503,2290,1091,930,138,1095,34,1468,19,0,39,10729,0,1,1,0,0
Charles Bender,1953,16,1903,1925,0,42.62,212,127,0.625,2.46,459,334,112,255,40,34,3017,2645,1108,823,40,712,,1711,102,10,79,11901,0,1,1,0,0
Jack Chesbro,1946,11,1899,1909,0,42.47,198,132,0.6,2.68,392,332,52,260,35,5,2896.2,2647,1206,864,39,690,,1265,113,2,62,11632,0,1,1,0,0
Rich Gossage,2008,22,1972,1994,9,41.64,124,107,0.537,3.01,1002,37,681,16,0,310,1809.1,1497,670,605,119,732,90,1502,47,5,63,7507,0,1,1,0,0
Candy Cummings,1939,6,1872,1877,0,38.59,145,94,0.607,2.42,242,241,2,233,19,0,2149.2,2526,1450,579,12,113,,259,,0,67,9583,0,1,1,0,0
Bullet Rogan,1998,13,1920,1938,1,37.84,120,52,0.698,2.65,214,157,18,136,18,16,1500,1330,611,442,22,405,0,918,30,1,31,5541,0,1,0,1,0
Bob Lemon,1976,15,1941,1958,7,37.54,207,128,0.618,3.23,460,350,73,188,31,22,2850,2559,1185,1024,180,1251,55,1277,57,2,63,12099,0,1,1,0,0
Catfish Hunter,1987,15,1965,1979,8,36.31,224,166,0.574,3.26,500,476,6,181,42,1,3449.1,2958,1380,1248,374,954,57,2012,49,7,49,14032,0,1,1,0,0
Jesse Haines,1970,19,1918,1937,0,35.74,210,158,0.571,3.64,555,387,96,209,23,11,3208.2,3460,1556,1298,165,871,39,981,57,6,55,13644,0,1,1,0,0
Rube Marquard,1971,18,1908,1925,0,34.72,201,177,0.532,3.08,536,408,82,197,30,20,3306.2,3233,1443,1130,107,858,,1593,39,5,81,13641,0,1,1,0,0
Ray Brown,2006,14,1931,1945,2,31.69,119,46,0.721,3.12,216,157,35,140,18,16,1480.2,1400,648,514,33,415,0,719,24,2,5,5391,0,1,0,1,0
