Name,playerID,G,PA,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,GIDP,SF,SH,BA,OBP,SLG,,
Wilbur Wood,woodwi01,651,381,322,11,27,2,0,0,13,1,0,20,189,0,7,0,38,0.083850932,0.125984252,0.090062112,0.216046364,
Lance Lynn,lynnla01,364,333,283,15,24,5,0,0,7,0,0,12,159,0,2,1,35,0.084805654,0.114114114,0.102473498,0.216587612,
Cliff Lee,leecl01,521,1718,1583,216,475,87,28,38,216,14,11,104,186,0,0,0,30,0.300063171,0.337601863,0.46241314,0.800015003,
Aaron Nola,nolaaa01,286,318,271,15,24,6,0,0,12,0,0,21,158,0,4,1,24,0.088560886,0.144654088,0.110701107,0.255355195,
Gerrit Cole,colege01,320,286,251,17,41,2,0,3,15,0,0,6,112,0,4,0,28,0.163346614,0.167832168,0.207171315,0.375003483,
Sonny Gray,grayso01,342,118,99,8,14,0,1,0,3,0,0,3,35,0,1,0,16,0.141414141,0.144067797,0.161616162,0.305683959,
Freddy García,garcifr01,175,439,401,53,89,18,2,19,56,0,3,33,121,3,6,2,1,0.221945137,0.282460137,0.418952618,0.701412755,
Félix Hernández,hernafe01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,
Chris Sale,salech01,393,27,26,1,3,1,0,0,0,0,0,0,14,0,0,0,1,0.115384615,0.111111111,0.153846154,0.264957265,
Jimmy Keppinger,keppiji01,818,3154,2882,324,814,139,10,45,295,12,8,199,214,9,100,26,31,0.282442748,0.326252378,0.384455239,0.710707617,
Dave Steeves,steevda01,DELETE,,,,,,,,,,,,,,,,,,,,0,
