playerID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,BA,OBP,SLG
talbeda01,71,264,40,69,18,1,0,37,4,0,28,0,0,2,7,0,0,301,0.261363636,0.328903654,0.337121212
talbobo01,122,433,50,107,15,5,1,19,4,6,16,29,0,3,7,1,8,460,0.247113164,0.273913043,0.311778291
talbofr01,207,241,24,42,6,2,4,29,1,0,24,90,0,2,21,0,2,288,0.174273859,0.236111111,0.265560166
talbomi01,43,7,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,8,0,0,0
talcoro01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tallebr01,242,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
talleki01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taltoti01,83,112,15,33,6,2,2,11,0,1,8,18,1,1,1,1,4,123,0.294642857,0.341463415,0.4375
tamarjo01,135,244,19,59,12,1,4,33,1,1,34,27,5,0,2,7,2,287,0.241803279,0.324041812,0.348360656
tamje01,251,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.5,0.5,1
tamulvi01,172,229,24,40,4,1,1,16,0,0,14,27,0,0,10,0,5,253,0.174672489,0.213438735,0.213973799
tanakke01,15,30,4,8,0,0,0,2,2,0,4,3,0,0,0,0,0,34,0.266666667,0.352941176,0.266666667
tanakma01,174,27,1,1,0,0,0,0,0,0,1,12,0,0,1,0,0,29,0.037037037,0.068965517,0.037037037
tananfr01,639,59,3,9,1,1,0,5,0,1,2,12,0,0,3,0,0,64,0.152542373,0.171875,0.203389831
tankede01,27,21,2,6,1,0,1,2,0,0,1,6,0,0,1,0,1,23,0.285714286,0.304347826,0.476190476
tankele01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
tanketa01,168,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
tannebr01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tannech01,396,885,98,231,39,5,21,105,2,2,82,93,9,2,7,6,27,982,0.261016949,0.320773931,0.387570621
tannehi01,4,11,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0.214285714,0
tanneje01,507,1414,190,361,55,23,5,142,19,0,105,166,0,8,26,0,0,1553,0.255304102,0.305215712,0.337340877
tannele01,1090,3778,331,833,135,27,3,346,63,0,229,375,0,23,154,0,0,4184,0.22048703,0.259321224,0.272895712
tapanke01,361,261,14,40,6,0,2,22,1,1,16,105,0,0,33,1,4,311,0.153256705,0.180064309,0.199233716
tapiado01,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tapiara01,631,1879,261,514,95,16,29,201,63,17,120,383,3,6,7,10,30,2022,0.273549761,0.316518299,0.387440128
taplejo01,3,9,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0.222222222,0.2,0.222222222
tapleto01,5,16,0,5,1,0,0,1,0,0,2,0,0,0,1,0,0,19,0.3125,0.368421053,0.375
tappawa01,18,39,1,8,1,0,1,3,1,0,1,0,0,0,2,0,0,42,0.205128205,0.214285714,0.307692308
tappeel01,145,304,21,63,10,0,0,17,0,1,29,25,3,3,10,1,8,347,0.207236842,0.273775216,0.240131579
tappete01,34,58,13,15,2,0,5,11,0,0,12,12,3,2,0,0,0,72,0.25862069,0.402777778,0.551724138
