,playerID,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
1405,bunchme01,1,3,17.33,18,6,7,0,0,0,150,62,38,38,14,21,1,23,0,0,50,0.25
1406,bundydy01,54,65,32.74,190,162,9,3,1,0,2732,902,515,480,163,285,6,852,38,2,910.6666667,0.453781513
1407,bunkewa01,60,52,42.82,206,152,18,34,5,5,3256,976,473,423,113,334,16,569,16,1,1085.333333,0.535714286
1408,bunniji01,224,184,64.18,591,519,39,151,40,16,11281,3433,1527,1366,372,1000,98,2855,160,8,3760.333333,0.549019608
1409,bunnwi01,0,3,17.63,4,3,0,1,0,0,63,34,23,17,1,10,0,16,0,0,21,0
1410,burawda01,0,0,57.65,13,0,4,0,0,0,39,11,9,9,2,5,0,11,1,0,13,NA
1411,burbabi01,6,11,24.71,37,28,3,2,1,0,482,141,93,80,17,116,3,95,3,0,160.6666667,0.352941176
1412,burbabu01,0,0,3.18,1,0,1,0,0,0,17,6,2,2,0,0,0,0,0,0,5.666666667,NA
1413,burbada01,115,87,80.84,511,234,71,6,1,3,5333,1777,961,886,201,762,53,1398,58,4,1777.666667,0.569306931
1414,burched01,3,1,3.75,8,5,0,4,0,0,151,53,28,21,6,16,0,16,1,0,50.33333333,0.75
1415,burchfr01,13,15,11.46,49,28,15,12,0,0,857,268,139,93,3,92,0,124,16,3,285.6666667,0.464285714
1416,burchla01,0,2,4.25,29,0,10,0,0,0,127,42,28,20,2,24,2,26,1,0,42.33333333,0
1417,burchwa01,0,1,31.15,2,0,2,0,0,0,16,10,6,5,1,2,0,2,0,0,5.333333333,0
1418,burdefr01,1,0,10.73,30,0,11,0,0,1,103,27,13,13,5,20,5,10,1,0,34.33333333,1
1419,burdele01,203,144,85.45,626,373,128,158,33,31,9202,3186,1400,1246,289,628,63,1074,56,7,3067.333333,0.585014409
1420,burdibi01,12,14,7.34,30,24,5,22,0,1,665,226,130,78,19,56,0,71,6,0,221.6666667,0.461538462
1421,burdini01,3,2,44.32,35,0,12,0,0,1,91,29,19,18,3,21,0,44,2,0,30.33333333,0.6
1422,burdiza01,0,1,28.3,18,0,3,0,0,0,64,30,24,20,7,10,0,23,2,0,21.33333333,0
1423,burgep01,0,0,9,1,0,0,0,0,0,3,3,2,1,0,1,0,0,0,0,1,NA
1424,burgmto01,79,55,57.68,745,3,369,0,0,102,3776,1231,521,452,94,384,55,584,32,7,1258.666667,0.589552239
1425,burgoam01,8,10,12.92,144,1,63,0,0,20,481,160,88,82,25,77,5,156,13,5,160.3333333,0.444444444
1426,burgoen01,0,1,17.64,10,0,5,0,0,0,40,19,13,13,1,12,1,18,2,0,13.33333333,0
1427,burgoen02,3,4,10.33,73,0,24,0,0,3,205,65,42,40,7,38,5,82,1,1,68.33333333,0.428571429
1428,burgohi01,1,2,6.44,6,6,0,0,0,0,88,38,23,21,5,11,0,18,2,0,29.33333333,0.333333333
